delay	freq	condition	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	polygon.started	polygon_2.started	key_resp.started	polygon.stopped	key_resp.keys	key_resp.rt	sound_1.started	text.started	textbox.started	button.started	textbox.text	button.numClicks	button.timesOn	button.timesOff	sound_1.stopped	participant	session	date	expName	psychopyVersion	frameRate
0.4	1000	exp	0	0	0	4	22.4697342	23.4065781	23.4065781	23.4726672	space	2.1753838	26.00117557	26.4498134	26.4498134	26.4498134	200	1	[14.757660900009796]	[14.757675100001507]		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	0	1	1	11	41.0609115	42.0602896	42.0602896	42.0762818	space	1.3725338	44.15745847	44.4682403	44.4682403	44.4682403	300	2	"[14.757660900009796, 3.497444099979475]"	"[14.757675100001507, 3.4974542999989353]"	44.4682403	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	1000	exp	0	2	2	10	47.9513862	48.9491166	48.9491166	48.9653525	space	1.8038318	51.17935087	51.4905102	51.4905102	51.4905102	150	3	"[14.757660900009796, 3.497444099979475, 4.328392499999609]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	0	3	3	8	55.8051083	56.8032402	56.8032402	56.8199181	space	2.5399157	60.06580967	60.380063	60.380063	60.380063	200	4	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	1000	exp	0	4	4	7	64.2916857	65.2910444	65.2910444	65.3075604	space	1.9561013	67.67073877	67.9827399	67.9827399	67.9827399	50	5	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919]"	67.9827399	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	400	unexp	0	5	5	1	78.7361047	79.7353913	79.7353913	79.751736	space	1.5025851	81.66573707	81.9758883	81.9758883	81.9758883	0	6	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913]"	81.9758883	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	400	unexp	0	6	6	2	88.704498	89.7034874	89.7034874	89.7204739	space	2.0925791	92.51606547	92.8279677	92.8279677	92.8279677	150	7	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116]"	92.8279677	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	1000	exp	0	7	7	3	102.6660631	103.6647071	103.6647071	103.6647071	space	1.5693326	105.3623748	105.6730422	105.6730422	105.6730422	0	8	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636]"	105.6730422	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	1000	exp	0	8	8	6	108.8735155	109.8725095	109.8725095	109.8890219	space	1.6124088	111.6030247	111.9125085	111.9125085	111.9125085	0	9	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354]"	111.9125085	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	400	unexp	0	9	9	0	115.3959146	116.3952858	116.3952858	116.3952858	space	0.7297177	117.2437105	117.5520262	117.5520262	117.5520262	50	10	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	0	10	10	5	118.9741021	119.9731177	119.9731177	119.9906478	space	3.3807183	124.0836925	124.3959953	124.3959953	124.3959953	200	11	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829]"	124.3959953	661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.1	1000	exp	0	11	11	9	129.2743008	130.2737848	130.2737848	130.2737848	space	3.0895521	133.4856742	133.7990771	133.7990771	133.7990771	0	12	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	400	unexp	1	0	12	1	135.9148569	136.913226	136.913226	136.9310922	space	0.8537095	138.1950827	138.5063225	138.5063225	138.5063225	50	13	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.4	1000	exp	1	1	13	10	141.422745	142.4219643	142.4219643	142.4384619	space	1.0245462	143.8696225	144.1829297	144.1829297	144.1829297	50	14	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
0.7	1000	exp	1	2	14	8	147.264107	148.2622883	148.2622883	148.2788822	space	0.6775588	149.6606073	149.9730399	149.9730399	149.9730399	200	15	"[14.757660900009796, 3.497444099979475, 4.328392499999609, 3.927760999999009, 10.766770799993537, 6.737027299997862, 9.850475099985488, 3.2098986000055447, 3.489623199973721, 1.4319361999514513, 4.888519899977837, 2.1293566999956965, 2.9275343000190333, 3.095291699981317, 3.1331795000005513]"	"[14.757675100001507, 3.4974542999989353, 4.32840329996543, 3.9277719000237994, 10.76678050000919, 6.737040099978913, 9.850486399955116, 3.2099119999911636, 3.4896329999901354, 1.4319467999739572, 4.888528199982829, 2.129367900022771, 2.9275459999917075, 3.0953026000061072, 3.1331902000238188]"		661317	1	2022-11-10_17h48.41.895	Tutorial 7	2022.2.2	60.10157166
